GeneID,Name,k1’,k2,k2’,kdeg,Transport
ENSMUSG00000032724.5,Abtb2,-0.524195101271429,-0.609784333900286,-1.39846263082696,-1.90334029020913,-1.3128733981981
ENSMUSG00000022126.6,Acod1,0.019287269301581,-0.200277173093828,-1.54990723952954,-1.9790488656457,-1.33034279713413
ENSMUSG00000001348.15,Acp5,0.718434008574865,0.443627176585766,-1.78807968386919,-2.89885916413889,-1.5132728518801
ENSMUSG00000020178.6,Adora2a,-0.587310606700094,-0.954893459338095,-1.22450819784964,-1.45551263435122,-0.856925345211643
ENSMUSG00000018500.2,Adora2b,-0.652018325653163,-0.859018028521324,-1.05258020057147,-1.4701996158597,-0.845580497703308
ENSMUSG00000027712.13,Anxa5,8.50824955048956,8.32320311677507,-1.96137213997331,-3.06382895506407,-1.77632570625883
ENSMUSG00000017418.13,Arl5b,-0.359100016822249,-0.655812622959648,-1.59825601433096,-1.63215039684971,-1.30154340819356
ENSMUSG00000038352.15,Arl5c,0.121176732978147,-0.244931019957412,-1.93430971570724,-2.10658020674156,-1.56820196277168
ENSMUSG00000027381.16,Bcl2l11,-0.017514990327238,-0.523525561484328,-1.65197208278845,-1.87587908450947,-1.14596151163136
ENSMUSG00000027358.6,Bmp2,-0.759106548533104,-1.34137952228671,-0.920228824560106,-1.23464146526722,-0.3379558508065
ENSMUSG00000036478.8,Btg1,-0.494564816310779,-1.05162783926099,-0.949424862179123,-1.51537046063267,-0.392361839228916
ENSMUSG00000020423.6,Btg2,-0.078579611624477,-0.62608697125242,-0.821910560015752,-1.08757797037925,-0.274403200387808
ENSMUSG00000024164.15,C3,-1.42524896534265,-2.4667094020877,-2.12394358659347,-2.35013730641857,-1.08248314984842
ENSMUSG00000049130.6,C5ar1,-0.54185825461863,-1.38203128444505,-1.54302657216661,-2.06082163813686,-0.702853542340182
ENSMUSG00000007655.16,Cav1,-0.525343474801537,-0.788884827564171,-1.39165658451943,-1.75775773929476,-1.1281152317568
ENSMUSG00000035352.3,Ccl12,8.77685206545011,8.44150154285344,-1.35891607778095,-2.29032359130443,-1.02356555518429
ENSMUSG00000035385.5,Ccl2,5.51158585027794,5.03820300248996,-1.23584975067214,-1.68997565052024,-0.762466902884166
ENSMUSG00000018930.3,Ccl4,0.039643241316047,-0.240220520653158,-1.09259739898989,-1.38229001153741,-0.812733637020685
ENSMUSG00000035042.2,Ccl5,4.72262288977588,4.36735783996447,-1.78858438317009,-3.05526000356724,-1.43331933335868
ENSMUSG00000035373.2,Ccl7,6.28636826077059,5.77489856029857,-1.18241327203864,-1.56265241743756,-0.67094357156662
ENSMUSG00000019122.8,Ccl9,-0.267201833526064,-0.801265878677957,-1.57646542979776,-2.46456770783031,-1.04240138464587
ENSMUSG00000035448.9,Ccr3,-0.644829415438497,-1.08684062774275,-1.49358777350151,-1.8662981023288,-1.05157656119726
ENSMUSG00000043953.12,Ccrl2,-0.456404300113304,-1.01641768190792,-1.0635586711897,-1.62669796018431,-0.503545289395077
ENSMUSG00000051439.6,Cd14,-0.451134635031739,-1.22819415705461,-1.27051944815287,-1.88496274026006,-0.493459926130003
ENSMUSG00000017652.16,Cd40,-0.652764007827243,-0.744542343899457,-1.93132655484514,-2.09418983675823,-1.83954821877293
ENSMUSG00000005087.17,Cd44,-1.16816623990326,-2.0170288395799,-1.95907667857241,-2.19558036374853,-1.11021407889577
ENSMUSG00000030156.5,Cd69,-0.020659461293683,-0.49406490079471,-1.13651031120396,-1.62412302923368,-0.663104871702935
ENSMUSG00000024610.14,Cd74,-1.39562321463637,-2.79251438804087,-1.37733453548205,-1.71311189525402,0.019556637922446
ENSMUSG00000015396.4,Cd83,-0.076432024888622,-0.367609098591149,-1.46798038736174,-2.04655968408199,-1.17680331365921
ENSMUSG00000045664.4,Cdc42ep2,-0.280399704681,-0.558079047834432,-1.03422710925811,-1.71892606576935,-0.756547766104677
ENSMUSG00000041598.7,Cdc42ep4,-0.462009564716723,-0.78790714752819,-1.30991265716745,-1.84556230976919,-0.984015074355983
ENSMUSG00000023067.13,Cdkn1a,-0.158630129484112,-0.600091261669605,-1.15897944825527,-1.7276773343768,-0.717518316069782
ENSMUSG00000024843.15,Chka,0.310027190062716,0.203942474032374,-2.53322124551613,-2.27612393236761,-2.42713652948579
ENSMUSG00000032578.7,Cish,0.867190806244776,0.579475960825365,-1.04064986697678,-1.08868898202516,-0.752935021557369
ENSMUSG00000040663.8,Clcf1,6.66234736149616,6.45592258044127,-1.6768282463119,-1.14143965600117,-1.47040346525701
